org_id,name,industry,street,city,country
O0001,Hank's Used Nuclear Reactor Parts,Energy,58 Harbor Rd,Rome,Italy
O0002,Quietwater Maritime Salvage,Maritime,380 Harbor Rd,Rethymno,Greece
O0003,Phoenix Cardiac Clinic,Healthcare,126 Harbor Rd,Portland,USA
O0004,Pioneer Partners,Construction,8936 Main St,Lyon,France
O0005,Atlas & Co,Healthcare,1536 Oak St,Rethymno,Greece
O0006,Pioneer Works,Healthcare,9196 Oak St,Stockholm,Sweden
O0007,Juniper Collective,Energy,6874 Oak St,Lyon,France
O0008,Bluewater Associates,Media,107 Oak St,Portland,USA
O0009,Juniper & Co,Retail,2548 Oak St,Seattle,USA
O0010,Granite Group,Logistics,1585 Market St,Chania,Greece
O0011,Willow Associates,Media,712 Vine St,Portland,USA
O0012,Bluewater Works,Maritime,6202 Main St,Chania,Greece
O0013,Kestrel Labs,Finance,5926 Mill St,Berlin,Germany
O0014,Cedar Trust,Healthcare,3734 Market St,Chania,Greece
O0015,Northwind Solutions,Construction,6228 Market St,Berlin,Germany
O0016,Bluewater Collective,Education,2665 Market St,Berlin,Germany
O0017,Willow Solutions,Retail,1170 Mill St,Rome,Italy
O0018,Fenwick Partners,Nonprofit,4011 Oak St,London,UK
O0019,Bluewater & Co,Maritime,9126 Oak St,Portland,USA
O0020,Halcyon Holdings,Media,917 Oak St,Berlin,Germany
O0021,Aegean Holdings,Retail,1085 Oak St,Austin,USA
O0022,Atlas Trust,Manufacturing,8180 Pine St,Seattle,USA
O0023,Fenwick Systems,Retail,2288 Oak St,Heraklion,Greece
O0024,Lighthouse Works,Retail,9578 Pine St,London,UK
O0025,Summit Works,Construction,772 Main St,Toronto,Canada
O0026,Summit Collective,Media,6917 Mill St,Heraklion,Greece
O0027,Northwind & Co,Agriculture,7669 Mill St,Austin,USA
O0028,Olympus Works,Healthcare,1877 Vine St,Berlin,Germany
O0029,Fenwick Holdings,Retail,7124 Oak St,Chania,Greece
O0030,Bluewater Industries,Maritime,4316 Mill St,Lyon,France
O0031,Harbor Works,Construction,4890 Vine St,Lisbon,Portugal
O0032,Sterling Associates,Legal,6127 Oak St,Athens,Greece
O0033,Kestrel Works,Healthcare,9814 Market St,Lisbon,Portugal
O0034,Redwood Industries,Maritime,5948 Market St,Chania,Greece
O0035,Pioneer Industries,Maritime,9296 Main St,Athens,Greece
O0036,Northwind Trust,Aerospace,1134 Mill St,Toronto,Canada
O0037,Summit Partners,Hospitality,9008 Oak St,Rome,Italy
O0038,Beacon & Co,Maritime,8836 Vine St,Athens,Greece
O0039,Juniper Solutions,Retail,6538 Vine St,Lyon,France
O0040,Bluewater Group,Manufacturing,1050 Market St,Athens,Greece
O0041,Acme Associates,Manufacturing,9642 Oak St,London,UK
O0042,Acme Group,Finance,965 Oak St,Lyon,France
O0043,Northwind Industries,Education,1161 Mill St,Berlin,Germany
O0044,Pioneer Labs,Hospitality,3511 Mill St,Rome,Italy
O0045,Summit Trust,Maritime,9356 Mill St,Lisbon,Portugal
O0046,Redwood Solutions,Hospitality,6670 Oak St,Kyiv,Ukraine
O0047,Cretan Group,Logistics,5805 Pine St,Rome,Italy
O0048,Ironclad Systems,Nonprofit,888 Vine St,Berlin,Germany
O0049,Fenwick Collective,Healthcare,6597 Vine St,Chania,Greece
O0050,Pioneer Solutions,Energy,7351 Oak St,Athens,Greece
O0051,Ironclad Partners,Hospitality,4093 Main St,Portland,USA
O0052,Cretan Industries,Energy,242 Main St,Rome,Italy
O0053,Vantage Industries,Logistics,36 Pine St,Heraklion,Greece
O0054,Olympus Systems,Logistics,9106 Vine St,Portland,USA
O0055,Juniper Systems,Manufacturing,4862 Oak St,Heraklion,Greece
O0056,Aegean Associates,Energy,999 Vine St,Lyon,France
O0057,Granite Industries,Agriculture,7812 Mill St,Rethymno,Greece
O0058,Sterling Partners,Energy,1313 Oak St,Rethymno,Greece
O0059,Northwind Associates,Finance,3854 Pine St,Chania,Greece
O0060,Cretan Associates,Agriculture,9741 Main St,Athens,Greece
